CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LY,311,EL AL ISRAEL AIRLINES,2024-02-27T09:40:00,2024-02-27T09:58:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
IZ,804,ARKIA  ISRAELI  AIRLINES,2024-02-27T10:15:00,2024-02-27T10:04:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
A4,5025,AZIMUTH AIRLINES,2024-02-27T10:20:00,2024-02-27T10:11:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
IZ,807,ARKIA  ISRAELI  AIRLINES,2024-02-27T10:10:00,2024-02-27T10:11:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G16,G,DEPARTED,המריאה
EK,2450,EMIRATES,2024-02-27T10:20:00,2024-02-27T10:23:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1081,FLYDUBAI,2024-02-27T10:20:00,2024-02-27T10:23:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
EK,2370,EMIRATES,2024-02-27T10:10:00,2024-02-27T10:24:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,48-55,B,DEPARTED,המריאה
FZ,1550,FLYDUBAI,2024-02-27T10:10:00,2024-02-27T10:24:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,48-55,B,DEPARTED,המריאה
HU,743,HAINAN AIRLINES,2024-02-27T10:40:00,2024-02-27T10:27:00,A,SZX,SHENZHEN  BAOAN INT.,שנז'ן,SHENZHEN,סין,CHINA,3,,,LANDED,נחתה
AM,7868,AERO MEXICO,2024-02-27T10:20:00,2024-02-27T11:25:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
AR,7852,AEROLINEAS ARGENTINAS S.A.,2024-02-27T10:20:00,2024-02-27T11:25:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
B6,6450,JETBLUE AIRWAYS CORPORATION,2024-02-27T10:20:00,2024-02-27T11:25:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7425,DELTA AIRLINES,2024-02-27T10:20:00,2024-02-27T11:25:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,002,EL AL ISRAEL AIRLINES,2024-02-27T10:20:00,2024-02-27T11:25:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
IZ,1295,ARKIA  ISRAELI  AIRLINES,2024-02-27T11:20:00,2024-02-27T11:31:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,56-60,C,DEPARTED,המריאה
A3,926,AEGEAN  AIRLINES,2024-02-27T12:00:00,2024-02-27T11:45:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
JU,7620,AIR SERBIA,2024-02-27T12:00:00,2024-02-27T11:45:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
EK,2451,EMIRATES,2024-02-27T11:35:00,2024-02-27T11:46:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,48-55,B,DEPARTED,המריאה
FZ,1082,FLYDUBAI,2024-02-27T11:35:00,2024-02-27T11:46:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,48-55,B,DEPARTED,המריאה
EK,2363,EMIRATES,2024-02-27T11:40:00,2024-02-27T11:53:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1211,FLYDUBAI,2024-02-27T11:40:00,2024-02-27T11:53:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
LY,5101,EL AL ISRAEL AIRLINES,2024-02-27T11:40:00,2024-02-27T12:01:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,78-99,D,DEPARTED,המריאה
6H,563,ISRAIR AIRLINES,2024-02-27T11:45:00,2024-02-27T12:02:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,34-37,B,DEPARTED,המריאה
6H,047,ISRAIR AIRLINES,2024-02-27T11:45:00,2024-02-27T12:04:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G1-G5,G,DEPARTED,המריאה
LX,254,SWISS INT`L  AIRLINES,2024-02-27T11:55:00,2024-02-27T12:05:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
A4,5026,AZIMUTH AIRLINES,2024-02-27T12:05:00,2024-02-27T12:09:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,38-40,B,DEPARTED,המריאה
HU,744,HAINAN AIRLINES,2024-02-27T12:10:00,2024-02-27T12:12:00,D,SZX,SHENZHEN  BAOAN INT.,שנז'ן,SHENZHEN,סין,CHINA,3,63-67,C,DEPARTED,המריאה
IZ,808,ARKIA  ISRAELI  AIRLINES,2024-02-27T12:35:00,2024-02-27T12:29:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
LY,973,EL AL ISRAEL AIRLINES,2024-02-27T12:10:00,2024-02-27T12:30:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,78-99,D,DEPARTED,המריאה
LY,5142,EL AL ISRAEL AIRLINES,2024-02-27T13:00:00,2024-02-27T12:50:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
LY,552,EL AL ISRAEL AIRLINES,2024-02-27T13:40:00,2024-02-27T13:08:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,LANDED,נחתה
AM,7874,AERO MEXICO,2024-02-27T13:50:00,2024-02-27T13:10:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
B6,6462,JETBLUE AIRWAYS CORPORATION,2024-02-27T13:50:00,2024-02-27T13:10:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7429,DELTA AIRLINES,2024-02-27T13:50:00,2024-02-27T13:10:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,006,EL AL ISRAEL AIRLINES,2024-02-27T13:50:00,2024-02-27T13:10:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
A3,927,AEGEAN  AIRLINES,2024-02-27T12:50:00,2024-02-27T13:12:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,41-44,B,DEPARTED,המריאה
EK,4978,EMIRATES,2024-02-27T12:50:00,2024-02-27T13:12:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,41-44,B,DEPARTED,המריאה
FB,1514,BULGARIA  AIR,2024-02-27T12:50:00,2024-02-27T13:12:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,41-44,B,DEPARTED,המריאה
JU,7621,AIR SERBIA,2024-02-27T12:50:00,2024-02-27T13:12:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,41-44,B,DEPARTED,המריאה
ET,418,ETHIOPIAN AIRLINES,2024-02-27T13:35:00,2024-02-27T13:13:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,LANDED,נחתה
LY,8808,EL AL ISRAEL AIRLINES,2024-02-27T13:35:00,2024-02-27T13:13:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,LANDED,נחתה
BZ,701,BLUE BIRD AIRWAYS,2024-02-27T13:30:00,2024-02-27T13:16:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
LY,574,EL AL ISRAEL AIRLINES,2024-02-27T13:35:00,2024-02-27T13:17:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
6H,886,ISRAIR AIRLINES,2024-02-27T13:55:00,2024-02-27T13:22:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
EK,2345,EMIRATES,2024-02-27T13:05:00,2024-02-27T13:23:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1125,FLYDUBAI,2024-02-27T13:05:00,2024-02-27T13:23:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
WZ,015,RED WINGS AIRLINES,2024-02-27T13:30:00,2024-02-27T13:24:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
EK,2364,EMIRATES,2024-02-27T12:55:00,2024-02-27T13:27:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,48-55,B,DEPARTED,המריאה
FZ,1212,FLYDUBAI,2024-02-27T12:55:00,2024-02-27T13:27:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,48-55,B,DEPARTED,המריאה
LY,5130,EL AL ISRAEL AIRLINES,2024-02-27T13:15:00,2024-02-27T13:30:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,LANDED,נחתה
IZ,815,ARKIA  ISRAELI  AIRLINES,2024-02-27T13:10:00,2024-02-27T13:35:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G16,G,DEPARTED,המריאה
LX,255,SWISS INT`L  AIRLINES,2024-02-27T13:05:00,2024-02-27T13:36:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,24-33,A,DEPARTED,המריאה
B6,6482,JETBLUE AIRWAYS CORPORATION,2024-02-27T14:20:00,2024-02-27T13:47:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7442,DELTA AIRLINES,2024-02-27T14:20:00,2024-02-27T13:47:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,026,EL AL ISRAEL AIRLINES,2024-02-27T14:20:00,2024-02-27T13:47:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,542,EL AL ISRAEL AIRLINES,2024-02-27T13:50:00,2024-02-27T13:51:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
TO,3452,TRANSAVIA FRANCE,2024-02-27T14:30:00,2024-02-27T14:03:00,A,ORY,PARIS-ORLY,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
6H,048,ISRAIR AIRLINES,2024-02-27T14:25:00,2024-02-27T14:13:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
LY,2366,EL AL ISRAEL AIRLINES,2024-02-27T14:55:00,2024-02-27T14:30:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
LY,5107,EL AL ISRAEL AIRLINES,2024-02-27T14:35:00,2024-02-27T14:47:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,DEPARTED,המריאה
AR,7876,AEROLINEAS ARGENTINAS S.A.,2024-02-27T14:30:00,2024-02-27T14:50:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
LY,386,EL AL ISRAEL AIRLINES,2024-02-27T14:30:00,2024-02-27T14:50:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
ET,419,ETHIOPIAN AIRLINES,2024-02-27T14:35:00,2024-02-27T14:52:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,DEPARTED,המריאה
LY,8809,EL AL ISRAEL AIRLINES,2024-02-27T14:35:00,2024-02-27T14:52:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,DEPARTED,המריאה
WZ,016,RED WINGS AIRLINES,2024-02-27T14:45:00,2024-02-27T14:56:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,34-36,B,DEPARTED,המריאה
NH,5621,ALL NIPPON AIRWAYS,2024-02-27T14:45:00,2024-02-27T14:59:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,LANDED,נחתה
OS,857,AUSTRIAN AIRLINES,2024-02-27T14:45:00,2024-02-27T14:59:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,LANDED,נחתה
LY,355,EL AL ISRAEL AIRLINES,2024-02-27T14:35:00,2024-02-27T15:00:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
SK,3179,SAS,2024-02-27T14:35:00,2024-02-27T15:00:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
EK,2346,EMIRATES,2024-02-27T14:20:00,2024-02-27T15:09:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,48-55,B,DEPARTED,המריאה
FZ,1126,FLYDUBAI,2024-02-27T14:20:00,2024-02-27T15:09:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,48-55,B,DEPARTED,המריאה
AA,9264,AMERICAN AIRLINES,2024-02-27T15:05:00,2024-02-27T15:12:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,LANDED,נחתה
LY,327,EL AL ISRAEL AIRLINES,2024-02-27T14:50:00,2024-02-27T15:12:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
LY,354,EL AL ISRAEL AIRLINES,2024-02-27T15:05:00,2024-02-27T15:12:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,LANDED,נחתה
SK,3159,SAS,2024-02-27T14:50:00,2024-02-27T15:12:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
LY,2372,EL AL ISRAEL AIRLINES,2024-02-27T15:35:00,2024-02-27T15:20:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,LANDED,נחתה
SK,3154,SAS,2024-02-27T15:35:00,2024-02-27T15:20:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,LANDED,נחתה
6H,561,ISRAIR AIRLINES,2024-02-27T15:15:00,2024-02-27T15:27:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,41-44,B,DEPARTED,המריאה
AC,9020,AIR CANADA,2024-02-27T15:15:00,2024-02-27T15:45:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
LH,686,LUFTHANSA,2024-02-27T15:15:00,2024-02-27T15:45:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
NH,5459,ALL NIPPON AIRWAYS,2024-02-27T15:15:00,2024-02-27T15:45:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
SN,7173,BRUSSELS AIRLINES,2024-02-27T15:15:00,2024-02-27T15:45:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
UA,9120,UNITED AIRLINES,2024-02-27T15:15:00,2024-02-27T15:45:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
IZ,816,ARKIA  ISRAELI  AIRLINES,2024-02-27T15:35:00,2024-02-27T15:48:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
TO,3453,TRANSAVIA FRANCE,2024-02-27T15:40:00,2024-02-27T15:55:00,D,ORY,PARIS-ORLY,פריס,PARIS,צרפת,FRANCE,3,37-40,B,DEPARTED,המריאה
LY,387,EL AL ISRAEL AIRLINES,2024-02-27T15:45:00,2024-02-27T15:57:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
SK,3183,SAS,2024-02-27T15:45:00,2024-02-27T15:57:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
6H,662,ISRAIR AIRLINES,2024-02-27T15:50:00,2024-02-27T15:59:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
LY,382,EL AL ISRAEL AIRLINES,2024-02-27T16:00:00,2024-02-27T16:08:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
SK,3184,SAS,2024-02-27T16:00:00,2024-02-27T16:08:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
IB,2393,IBERIA,2024-02-27T16:40:00,2024-02-27T16:30:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
LY,394,EL AL ISRAEL AIRLINES,2024-02-27T16:40:00,2024-02-27T16:30:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
6H,891,ISRAIR AIRLINES,2024-02-27T16:10:00,2024-02-27T16:30:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,44-47,B,DEPARTED,המריאה
AM,7851,AERO MEXICO,2024-02-27T16:10:00,2024-02-27T16:33:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
LY,339,EL AL ISRAEL AIRLINES,2024-02-27T16:10:00,2024-02-27T16:33:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
SK,3151,SAS,2024-02-27T16:10:00,2024-02-27T16:33:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
BZ,702,BLUE BIRD AIRWAYS,2024-02-27T14:30:00,2024-02-27T16:38:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,63-66,C,DEPARTED,המריאה
OS,858,AUSTRIAN AIRLINES,2024-02-27T15:40:00,2024-02-27T16:43:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,24-33,A,DEPARTED,המריאה
IZ,821,ARKIA  ISRAELI  AIRLINES,2024-02-27T16:30:00,2024-02-27T16:48:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G16,G,DEPARTED,המריאה
AM,7856,AERO MEXICO,2024-02-27T17:10:00,2024-02-27T16:51:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
AR,7856,AEROLINEAS ARGENTINAS S.A.,2024-02-27T17:10:00,2024-02-27T16:51:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
B6,6456,JETBLUE AIRWAYS CORPORATION,2024-02-27T17:10:00,2024-02-27T16:51:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7431,DELTA AIRLINES,2024-02-27T17:10:00,2024-02-27T16:51:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,008,EL AL ISRAEL AIRLINES,2024-02-27T17:10:00,2024-02-27T16:51:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,363,EL AL ISRAEL AIRLINES,2024-02-27T16:15:00,2024-02-27T16:54:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,78-99,D,DEPARTED,המריאה
6H,564,ISRAIR AIRLINES,2024-02-27T17:00:00,2024-02-27T16:57:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
AM,7853,AERO MEXICO,2024-02-27T16:40:00,2024-02-27T16:58:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
LY,325,EL AL ISRAEL AIRLINES,2024-02-27T16:40:00,2024-02-27T16:58:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
LY,338,EL AL ISRAEL AIRLINES,2024-02-27T16:50:00,2024-02-27T17:04:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
SK,3150,SAS,2024-02-27T16:50:00,2024-02-27T17:04:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
A4,5023,AZIMUTH AIRLINES,2024-02-27T18:00:00,2024-02-27T17:19:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
IZ,1296,ARKIA  ISRAELI  AIRLINES,2024-02-27T17:35:00,2024-02-27T17:21:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
6H,727,ISRAIR AIRLINES,2024-02-27T16:50:00,2024-02-27T17:24:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,47-50,B,DEPARTED,המריאה
LY,348,EL AL ISRAEL AIRLINES,2024-02-27T17:05:00,2024-02-27T17:29:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
SK,3188,SAS,2024-02-27T17:05:00,2024-02-27T17:29:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
AM,7877,AERO MEXICO,2024-02-27T17:15:00,2024-02-27T17:30:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
LY,317,EL AL ISRAEL AIRLINES,2024-02-27T17:15:00,2024-02-27T17:30:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
